Date,Open,High,Low,Close,Adj Close,Volume
2018-12-27,155.839996,156.770004,150.070007,156.149994,156.149994,53117100
2018-12-28,157.500000,158.520004,154.550003,156.229996,156.229996,42291400
2018-12-31,158.529999,159.360001,156.479996,157.740005,157.740005,35003500
2019-01-02,154.889999,158.850006,154.229996,157.919998,157.919998,37039700
2019-01-03,143.979996,145.720001,142.000000,142.190002,142.190002,91312200
2019-01-04,144.529999,148.550003,143.800003,148.259995,148.259995,58607100
2019-01-07,148.699997,148.830002,145.899994,147.929993,147.929993,54777800
2019-01-08,149.559998,151.820007,148.520004,150.750000,150.750000,41025300
2019-01-09,151.289993,154.529999,149.630005,153.309998,153.309998,45099100
2019-01-10,152.500000,153.970001,150.860001,153.800003,153.800003,35780700
2019-01-11,152.880005,153.699997,151.509995,152.289993,152.289993,27023200
2019-01-14,150.850006,151.270004,149.220001,150.000000,150.000000,32439200
2019-01-15,150.270004,153.389999,150.050003,153.070007,153.070007,28710900
2019-01-16,153.080002,155.880005,153.000000,154.940002,154.940002,30569700
2019-01-17,154.199997,157.660004,153.259995,155.860001,155.860001,29821200
2019-01-18,157.500000,157.880005,155.979996,156.820007,156.820007,33751000
2019-01-22,156.410004,156.729996,152.619995,153.300003,153.300003,30394000
2019-01-23,154.149994,155.139999,151.699997,153.919998,153.919998,23130600
2019-01-24,154.110001,154.479996,151.740005,152.699997,152.699997,25441500
2019-01-25,155.479996,158.130005,154.320007,157.759995,157.759995,33535500
